Complaint_ID,Complaint_Text,Category,Priority,Status,Date
434,Billing details are wrong,Billing Issue,Medium,In Progress,2024-03-14
435,I was charged twice for my order,Billing Issue,Low,In Progress,2024-07-10
436,Customer service is not responding,Service Issue,Medium,In Progress,2024-02-17
437,Wrong delivery address used,Delivery Problem,High,Open,2024-11-05
438,Item stopped working after one day,Product Defect,High,Open,2024-12-07
439,Incorrect billing amount on my invoice,Billing Issue,Medium,Resolved,2024-05-14
440,No help from customer care,Service Issue,Medium,Resolved,2024-11-30
441,Extra charges applied without notice,Billing Issue,High,Open,2024-10-04
442,Delivery was delayed by many days,Delivery Problem,Low,Open,2024-02-17
443,The product is damaged,Product Defect,High,Resolved,2024-05-03
444,Quality is very poor,Product Defect,Medium,Open,2024-03-10
445,My order arrived late,Delivery Problem,Low,Resolved,2024-02-02
446,Extra charges applied without notice,Billing Issue,High,Resolved,2024-09-04
447,Service is very slow,Service Issue,High,Open,2024-03-10
448,Quality is very poor,Product Defect,Low,Resolved,2024-09-04
449,Need refund for cancelled order,Refund/Return,High,Resolved,2024-08-03
450,Package not delivered yet,Delivery Problem,Low,In Progress,2024-07-10
451,Item stopped working after one day,Product Defect,Medium,Resolved,2024-09-27
452,Money not refunded after return,Refund/Return,Low,Resolved,2024-11-25
453,Need refund for cancelled order,Refund/Return,Low,In Progress,2024-11-13
454,Item stopped working after one day,Product Defect,Medium,Resolved,2024-12-09
455,Quality is very poor,Product Defect,Low,In Progress,2024-02-01
456,Received a defective piece,Product Defect,High,Open,2024-07-13
457,Customer service is not responding,Service Issue,Medium,Resolved,2024-12-13
458,Package not delivered yet,Delivery Problem,High,Resolved,2024-06-20
459,Support team was rude,Service Issue,Medium,In Progress,2024-05-14
460,Wrong delivery address used,Delivery Problem,Medium,Resolved,2024-07-28
461,Customer service is not responding,Service Issue,Low,In Progress,2024-10-28
462,Issue not resolved by support,Service Issue,Low,Open,2024-02-23
463,Package not delivered yet,Delivery Problem,Low,Open,2024-07-15
464,I want to return my order,Refund/Return,High,Open,2024-09-04
465,Support team was rude,Service Issue,High,Open,2024-10-20
466,Package not delivered yet,Delivery Problem,Low,Resolved,2024-11-11
467,Quality is very poor,Product Defect,Low,Resolved,2024-08-18
468,Need refund for cancelled order,Refund/Return,Medium,Resolved,2024-07-24
469,Return request is pending,Refund/Return,Low,Open,2024-05-29
470,Incorrect billing amount on my invoice,Billing Issue,Medium,In Progress,2024-08-21
471,Wrong delivery address used,Delivery Problem,Low,Resolved,2024-05-12
472,Return request is pending,Refund/Return,Low,In Progress,2024-09-11
473,Wrong delivery address used,Delivery Problem,High,In Progress,2024-03-01
474,The product is damaged,Product Defect,Low,Open,2024-09-18
475,Need refund for cancelled order,Refund/Return,Low,Open,2024-04-30
476,Item stopped working after one day,Product Defect,High,Open,2024-04-27
477,Extra charges applied without notice,Billing Issue,High,Resolved,2024-08-08
478,Return request is pending,Refund/Return,Medium,In Progress,2024-06-22
479,Issue not resolved by support,Service Issue,Medium,Open,2024-12-23
480,Refund not processed yet,Refund/Return,Medium,Open,2024-03-02
481,Delivery was delayed by many days,Delivery Problem,Medium,Open,2024-07-31
482,Refund not processed yet,Refund/Return,Low,Open,2024-10-22
483,Product has scratches,Product Defect,High,In Progress,2024-02-29
484,The product is damaged,Product Defect,High,Open,2024-03-16
485,Received a defective piece,Product Defect,Low,Open,2024-01-02
486,Product has scratches,Product Defect,High,Open,2024-05-09
487,Item stopped working after one day,Product Defect,High,Open,2024-11-03
488,My order arrived late,Delivery Problem,Low,Open,2024-01-20
489,Quality is very poor,Product Defect,Medium,In Progress,2024-11-22
490,Payment deducted but order not confirmed,Billing Issue,Medium,Resolved,2024-11-09
491,Refund not processed yet,Refund/Return,Low,Open,2024-04-22
492,Money not refunded after return,Refund/Return,Medium,In Progress,2024-10-12
493,Need refund for cancelled order,Refund/Return,High,Open,2024-03-08
494,Customer service is not responding,Service Issue,High,In Progress,2024-12-03
495,Service is very slow,Service Issue,Low,Open,2024-12-24
496,Product has scratches,Product Defect,High,In Progress,2024-12-27
497,Return request is pending,Refund/Return,High,Resolved,2024-03-16
498,Customer service is not responding,Service Issue,Medium,Open,2024-04-24
499,Extra charges applied without notice,Billing Issue,Medium,In Progress,2024-12-15
500,Product has scratches,Product Defect,High,Open,2024-10-18
501,Incorrect billing amount on my invoice,Billing Issue,Medium,Open,2024-09-15
502,Support team was rude,Service Issue,Medium,Open,2024-09-17
503,The product is damaged,Product Defect,High,Resolved,2024-06-09
504,Quality is very poor,Product Defect,Medium,Resolved,2024-11-21
505,I want to return my order,Refund/Return,High,Open,2024-03-13
506,Payment deducted but order not confirmed,Billing Issue,Medium,Open,2024-06-10
507,I want to return my order,Refund/Return,Low,In Progress,2024-01-28
508,No help from customer care,Service Issue,High,Resolved,2024-08-14
509,Support team was rude,Service Issue,High,In Progress,2024-12-13
510,Delivery was delayed by many days,Delivery Problem,High,Open,2024-10-03
511,Payment deducted but order not confirmed,Billing Issue,Low,In Progress,2024-06-28
512,Quality is very poor,Product Defect,Low,Open,2024-08-04
513,I was charged twice for my order,Billing Issue,Medium,Resolved,2024-12-14
514,Order marked delivered but not received,Delivery Problem,High,Open,2024-11-24
515,Billing details are wrong,Billing Issue,High,Resolved,2024-07-02
516,Quality is very poor,Product Defect,Medium,Resolved,2024-11-18
517,Extra charges applied without notice,Billing Issue,Low,Resolved,2024-10-25
518,Issue not resolved by support,Service Issue,Medium,Resolved,2024-01-06
519,Extra charges applied without notice,Billing Issue,Low,Open,2024-12-28
520,Issue not resolved by support,Service Issue,High,Resolved,2024-12-20
521,Item stopped working after one day,Product Defect,High,Open,2024-02-08
522,Issue not resolved by support,Service Issue,Low,Open,2024-10-07
523,Refund not processed yet,Refund/Return,High,In Progress,2024-01-26
524,Service is very slow,Service Issue,High,In Progress,2024-05-27
525,Item stopped working after one day,Product Defect,High,Open,2024-10-15
526,Incorrect billing amount on my invoice,Billing Issue,Medium,Open,2024-12-21
527,Need refund for cancelled order,Refund/Return,Medium,Open,2024-02-03
528,Support team was rude,Service Issue,Low,Resolved,2024-03-03
529,I want to return my order,Refund/Return,Low,In Progress,2024-08-02
530,Customer service is not responding,Service Issue,Low,In Progress,2024-11-14
531,Money not refunded after return,Refund/Return,High,In Progress,2024-02-24
532,Payment deducted but order not confirmed,Billing Issue,Low,In Progress,2024-05-21
533,Incorrect billing amount on my invoice,Billing Issue,High,Resolved,2024-08-10
534,Received a defective piece,Product Defect,Low,Resolved,2024-10-12
535,Item stopped working after one day,Product Defect,Low,Resolved,2024-08-29
536,Issue not resolved by support,Service Issue,Low,In Progress,2024-01-09
537,Item stopped working after one day,Product Defect,High,In Progress,2024-04-14
538,Service is very slow,Service Issue,High,Resolved,2024-08-26
539,Money not refunded after return,Refund/Return,High,In Progress,2024-03-30
540,Return request is pending,Refund/Return,High,In Progress,2024-10-25
541,I was charged twice for my order,Billing Issue,High,Resolved,2024-10-05
542,Money not refunded after return,Refund/Return,Low,Resolved,2024-08-31
543,Return request is pending,Refund/Return,Low,In Progress,2024-10-18
544,Service is very slow,Service Issue,Medium,Resolved,2024-08-20
545,Item stopped working after one day,Product Defect,Low,In Progress,2024-02-24
546,Incorrect billing amount on my invoice,Billing Issue,Medium,Resolved,2024-08-03
547,I was charged twice for my order,Billing Issue,High,Resolved,2024-11-07
548,Billing details are wrong,Billing Issue,High,In Progress,2024-07-31
549,Return request is pending,Refund/Return,High,Open,2024-07-15
550,I want to return my order,Refund/Return,Low,Open,2024-09-04
551,Billing details are wrong,Billing Issue,High,Open,2024-07-19
552,Billing details are wrong,Billing Issue,Low,In Progress,2024-02-20
553,Wrong delivery address used,Delivery Problem,Medium,In Progress,2024-05-28
554,Issue not resolved by support,Service Issue,Medium,Resolved,2024-04-11
555,Product has scratches,Product Defect,High,Resolved,2024-01-18
556,Item stopped working after one day,Product Defect,High,Resolved,2024-06-06
557,I was charged twice for my order,Billing Issue,Low,Resolved,2024-05-20
558,Incorrect billing amount on my invoice,Billing Issue,Low,In Progress,2024-04-04
559,Item stopped working after one day,Product Defect,High,In Progress,2024-04-13
560,Received a defective piece,Product Defect,Low,Open,2024-01-31
561,Received a defective piece,Product Defect,High,Resolved,2024-09-11
562,Payment deducted but order not confirmed,Billing Issue,High,In Progress,2024-11-25
563,Return request is pending,Refund/Return,High,Resolved,2024-11-09
564,Need refund for cancelled order,Refund/Return,Low,Open,2024-12-01
565,Package not delivered yet,Delivery Problem,High,Open,2024-06-24
566,Need refund for cancelled order,Refund/Return,High,Open,2024-07-29
567,Need refund for cancelled order,Refund/Return,Low,Open,2024-08-19
568,Customer service is not responding,Service Issue,Low,Open,2024-04-18
569,Money not refunded after return,Refund/Return,Medium,In Progress,2024-12-14
570,Billing details are wrong,Billing Issue,High,Resolved,2024-11-09
571,Support team was rude,Service Issue,Low,Resolved,2024-12-13
572,Support team was rude,Service Issue,High,In Progress,2024-07-14
573,Received a defective piece,Product Defect,High,Resolved,2024-11-30
574,Support team was rude,Service Issue,Medium,In Progress,2024-09-22
575,Product has scratches,Product Defect,Medium,Resolved,2024-10-28
576,Refund not processed yet,Refund/Return,High,In Progress,2024-03-07
577,Package not delivered yet,Delivery Problem,Medium,Open,2024-04-07
578,Wrong delivery address used,Delivery Problem,High,Resolved,2024-11-07
579,My order arrived late,Delivery Problem,Medium,In Progress,2024-05-07
580,Delivery was delayed by many days,Delivery Problem,Medium,Resolved,2024-09-27
581,Billing details are wrong,Billing Issue,High,Resolved,2024-12-04
582,Delivery was delayed by many days,Delivery Problem,Low,Open,2024-06-12
583,Support team was rude,Service Issue,Low,In Progress,2024-10-12
584,Delivery was delayed by many days,Delivery Problem,Low,Open,2024-06-16
585,Payment deducted but order not confirmed,Billing Issue,Low,In Progress,2024-07-10
586,Quality is very poor,Product Defect,Medium,Open,2024-07-31
587,Incorrect billing amount on my invoice,Billing Issue,Medium,Open,2024-12-22
588,Money not refunded after return,Refund/Return,Medium,Resolved,2024-12-23
589,I was charged twice for my order,Billing Issue,Medium,Resolved,2024-05-12
590,I was charged twice for my order,Billing Issue,Medium,In Progress,2024-01-20
591,Extra charges applied without notice,Billing Issue,High,Open,2024-12-08
592,Customer service is not responding,Service Issue,Medium,Open,2024-01-01
593,Support team was rude,Service Issue,Low,In Progress,2024-01-15
594,Refund not processed yet,Refund/Return,Low,Open,2024-12-20
595,My order arrived late,Delivery Problem,High,In Progress,2024-03-27
596,Refund not processed yet,Refund/Return,Low,Resolved,2024-05-12
597,Order marked delivered but not received,Delivery Problem,Low,Resolved,2024-04-15
598,Need refund for cancelled order,Refund/Return,Low,In Progress,2024-03-31
599,Wrong delivery address used,Delivery Problem,High,In Progress,2024-01-01
600,I was charged twice for my order,Billing Issue,High,In Progress,2024-02-11
601,Payment deducted but order not confirmed,Billing Issue,Low,Open,2024-08-27
602,Customer service is not responding,Service Issue,Low,Resolved,2024-08-27
603,My order arrived late,Delivery Problem,High,In Progress,2024-10-30
604,Extra charges applied without notice,Billing Issue,Low,In Progress,2024-12-31
605,Quality is very poor,Product Defect,Low,Open,2024-10-15
606,The product is damaged,Product Defect,Low,In Progress,2024-11-24
607,Item stopped working after one day,Product Defect,Low,Open,2024-01-18
608,Quality is very poor,Product Defect,High,Open,2024-05-10
609,No help from customer care,Service Issue,Low,Resolved,2024-02-05
610,Refund not processed yet,Refund/Return,High,Open,2024-03-02
611,Package not delivered yet,Delivery Problem,Low,Open,2024-06-09
612,Product has scratches,Product Defect,Low,Resolved,2024-04-20
613,Issue not resolved by support,Service Issue,High,In Progress,2024-03-28
614,Package not delivered yet,Delivery Problem,Medium,Resolved,2024-06-06
615,Delivery was delayed by many days,Delivery Problem,Low,In Progress,2024-11-09
616,Item stopped working after one day,Product Defect,High,Open,2024-07-29
617,No help from customer care,Service Issue,Low,Resolved,2024-12-26
618,Incorrect billing amount on my invoice,Billing Issue,High,In Progress,2024-07-01
619,Issue not resolved by support,Service Issue,High,Resolved,2024-08-05
620,Item stopped working after one day,Product Defect,Medium,Resolved,2024-05-28
621,Delivery was delayed by many days,Delivery Problem,Low,In Progress,2024-11-12
622,Order marked delivered but not received,Delivery Problem,Low,Open,2024-02-12
623,Product has scratches,Product Defect,Medium,Open,2024-06-01
624,My order arrived late,Delivery Problem,Low,In Progress,2024-05-28
625,Product has scratches,Product Defect,Medium,Resolved,2024-02-10
626,Issue not resolved by support,Service Issue,Medium,In Progress,2024-11-18
627,My order arrived late,Delivery Problem,Low,In Progress,2024-08-24
628,The product is damaged,Product Defect,Low,In Progress,2024-03-02
629,My order arrived late,Delivery Problem,Low,Resolved,2024-06-15
630,Customer service is not responding,Service Issue,Medium,In Progress,2024-11-11
631,Delivery was delayed by many days,Delivery Problem,Low,Open,2024-02-11
632,Wrong delivery address used,Delivery Problem,Medium,In Progress,2024-09-22
633,Order marked delivered but not received,Delivery Problem,Low,Open,2024-12-17
634,My order arrived late,Delivery Problem,Low,Open,2024-08-08
635,The product is damaged,Product Defect,Medium,In Progress,2024-09-07
636,Issue not resolved by support,Service Issue,Medium,In Progress,2024-01-09
637,Product has scratches,Product Defect,Low,Resolved,2024-07-03
638,Item stopped working after one day,Product Defect,Low,Open,2024-07-11
639,Delivery was delayed by many days,Delivery Problem,Low,In Progress,2024-07-12
640,Incorrect billing amount on my invoice,Billing Issue,Low,Open,2024-07-12
641,Payment deducted but order not confirmed,Billing Issue,Medium,Open,2024-07-25
642,Order marked delivered but not received,Delivery Problem,Medium,Open,2024-05-08
643,Package not delivered yet,Delivery Problem,High,Open,2024-05-24
644,Product has scratches,Product Defect,Low,Open,2024-10-04
645,Wrong delivery address used,Delivery Problem,Low,Resolved,2024-09-24
646,Order marked delivered but not received,Delivery Problem,High,In Progress,2024-03-16
647,I was charged twice for my order,Billing Issue,Medium,Open,2024-11-17
648,Product has scratches,Product Defect,Medium,In Progress,2024-08-12
649,Customer service is not responding,Service Issue,Medium,Open,2024-07-16
650,Refund not processed yet,Refund/Return,Medium,Open,2024-09-28
651,Issue not resolved by support,Service Issue,High,Open,2024-11-25
652,Order marked delivered but not received,Delivery Problem,High,Open,2024-10-11
653,Payment deducted but order not confirmed,Billing Issue,Medium,Resolved,2024-09-24
654,I want to return my order,Refund/Return,Low,Resolved,2024-07-06
655,Item stopped working after one day,Product Defect,Medium,Open,2024-06-28
656,Received a defective piece,Product Defect,Medium,Resolved,2024-01-02
657,Payment deducted but order not confirmed,Billing Issue,Low,In Progress,2024-04-21
658,Quality is very poor,Product Defect,Medium,Open,2024-03-18
659,Payment deducted but order not confirmed,Billing Issue,Low,Open,2024-06-25
660,Payment deducted but order not confirmed,Billing Issue,Low,In Progress,2024-12-28
661,I was charged twice for my order,Billing Issue,Medium,Resolved,2024-07-28
662,I want to return my order,Refund/Return,High,Resolved,2024-04-09
663,I was charged twice for my order,Billing Issue,Medium,Open,2024-07-01
664,Wrong delivery address used,Delivery Problem,High,Open,2024-07-12
665,Delivery was delayed by many days,Delivery Problem,Medium,Resolved,2024-03-04
666,Extra charges applied without notice,Billing Issue,High,Resolved,2024-01-03
667,Quality is very poor,Product Defect,High,Resolved,2024-12-31
668,I was charged twice for my order,Billing Issue,Low,Resolved,2024-01-21
669,Payment deducted but order not confirmed,Billing Issue,High,Resolved,2024-06-24
670,Package not delivered yet,Delivery Problem,High,In Progress,2024-12-24
671,Delivery was delayed by many days,Delivery Problem,Medium,In Progress,2024-01-03
672,The product is damaged,Product Defect,Medium,Resolved,2024-08-08
673,Product has scratches,Product Defect,Medium,Open,2024-06-24
674,Need refund for cancelled order,Refund/Return,Medium,In Progress,2024-05-13
675,Order marked delivered but not received,Delivery Problem,High,Resolved,2024-10-22
676,Item stopped working after one day,Product Defect,Low,Open,2024-01-23
677,The product is damaged,Product Defect,Medium,Resolved,2024-06-19
678,Support team was rude,Service Issue,Medium,In Progress,2024-02-11
679,Incorrect billing amount on my invoice,Billing Issue,High,In Progress,2024-06-10
680,Item stopped working after one day,Product Defect,Medium,Resolved,2024-06-24
681,The product is damaged,Product Defect,Medium,Resolved,2024-05-16
682,Payment deducted but order not confirmed,Billing Issue,Low,Resolved,2024-10-16
683,Product has scratches,Product Defect,Low,Resolved,2024-06-13
684,Order marked delivered but not received,Delivery Problem,Medium,In Progress,2024-05-08
685,Order marked delivered but not received,Delivery Problem,Medium,Open,2024-03-01
686,Wrong delivery address used,Delivery Problem,Medium,Resolved,2024-08-16
687,Refund not processed yet,Refund/Return,Low,In Progress,2024-08-06
688,The product is damaged,Product Defect,Low,Open,2024-07-25
689,Product has scratches,Product Defect,High,In Progress,2024-07-11
690,Incorrect billing amount on my invoice,Billing Issue,Medium,Open,2024-02-16
691,Item stopped working after one day,Product Defect,Low,In Progress,2024-08-20
692,Extra charges applied without notice,Billing Issue,Medium,Open,2024-04-05
693,Return request is pending,Refund/Return,Low,In Progress,2024-01-30
694,Refund not processed yet,Refund/Return,Low,Open,2024-05-27
695,Received a defective piece,Product Defect,Medium,In Progress,2024-10-04
696,No help from customer care,Service Issue,Medium,Resolved,2024-07-16
697,Wrong delivery address used,Delivery Problem,Medium,Resolved,2024-02-25
698,Package not delivered yet,Delivery Problem,High,Resolved,2024-08-11
699,Return request is pending,Refund/Return,High,In Progress,2024-12-25
700,I was charged twice for my order,Billing Issue,High,Resolved,2024-10-02
701,No help from customer care,Service Issue,High,In Progress,2024-09-11
702,Money not refunded after return,Refund/Return,High,Resolved,2024-04-27
703,Support team was rude,Service Issue,Low,Resolved,2024-06-01
704,Need refund for cancelled order,Refund/Return,Medium,Resolved,2024-04-18
705,Item stopped working after one day,Product Defect,High,Resolved,2024-10-10
706,Incorrect billing amount on my invoice,Billing Issue,High,Resolved,2024-12-23
707,Received a defective piece,Product Defect,Low,In Progress,2024-03-30
708,I want to return my order,Refund/Return,High,Open,2024-02-10
709,Package not delivered yet,Delivery Problem,Medium,In Progress,2024-01-10
710,I want to return my order,Refund/Return,Medium,Resolved,2024-09-22
711,Billing details are wrong,Billing Issue,High,Open,2024-12-20
712,Wrong delivery address used,Delivery Problem,Medium,In Progress,2024-04-02
713,Delivery was delayed by many days,Delivery Problem,Medium,Open,2024-10-04
714,Payment deducted but order not confirmed,Billing Issue,Medium,In Progress,2024-01-02
715,Support team was rude,Service Issue,Medium,Open,2024-05-30
716,Customer service is not responding,Service Issue,Medium,Open,2024-08-18
717,Order marked delivered but not received,Delivery Problem,High,Open,2024-02-22
718,My order arrived late,Delivery Problem,Medium,Open,2024-05-19
719,Wrong delivery address used,Delivery Problem,High,In Progress,2024-03-10
720,Order marked delivered but not received,Delivery Problem,High,Resolved,2024-05-23
721,My order arrived late,Delivery Problem,Low,Open,2024-02-14
722,Received a defective piece,Product Defect,Low,Resolved,2024-05-11
723,Support team was rude,Service Issue,High,Resolved,2024-10-06
724,Return request is pending,Refund/Return,Low,Open,2024-10-10
725,Extra charges applied without notice,Billing Issue,Low,Open,2024-01-26
726,Billing details are wrong,Billing Issue,Low,Resolved,2024-08-13
727,Order marked delivered but not received,Delivery Problem,Medium,In Progress,2024-09-21
728,Received a defective piece,Product Defect,Low,In Progress,2024-11-04
729,Incorrect billing amount on my invoice,Billing Issue,Medium,Open,2024-02-24
730,Quality is very poor,Product Defect,Medium,Resolved,2024-01-09
731,Package not delivered yet,Delivery Problem,Low,In Progress,2024-05-27
732,Customer service is not responding,Service Issue,High,Resolved,2024-01-10
733,I want to return my order,Refund/Return,High,Resolved,2024-02-28
734,Product has scratches,Product Defect,High,Open,2024-08-18
735,Billing details are wrong,Billing Issue,High,Open,2024-11-05
736,Product has scratches,Product Defect,Low,Resolved,2024-11-07
737,Extra charges applied without notice,Billing Issue,Medium,Open,2024-12-07
738,Support team was rude,Service Issue,High,Resolved,2024-03-13
739,Issue not resolved by support,Service Issue,High,Resolved,2024-06-11
740,Support team was rude,Service Issue,High,Resolved,2024-10-22
741,Package not delivered yet,Delivery Problem,Medium,In Progress,2024-03-03
742,The product is damaged,Product Defect,High,Resolved,2024-08-16
743,Quality is very poor,Product Defect,Medium,Resolved,2024-06-21
744,Quality is very poor,Product Defect,Medium,Open,2024-08-22
745,Customer service is not responding,Service Issue,Medium,Resolved,2024-01-27
746,Received a defective piece,Product Defect,High,In Progress,2024-07-01
747,Return request is pending,Refund/Return,High,Open,2024-09-23
748,I want to return my order,Refund/Return,Medium,In Progress,2024-07-10
749,Package not delivered yet,Delivery Problem,High,Open,2024-11-27
750,Delivery was delayed by many days,Delivery Problem,Low,Resolved,2024-09-17
751,Received a defective piece,Product Defect,Low,Open,2024-08-26
752,Received a defective piece,Product Defect,High,Resolved,2024-12-07
753,Order marked delivered but not received,Delivery Problem,Medium,Open,2024-02-03
754,Service is very slow,Service Issue,Low,In Progress,2024-04-09
755,Support team was rude,Service Issue,Medium,In Progress,2024-03-19
756,Service is very slow,Service Issue,Low,In Progress,2024-02-06
757,I want to return my order,Refund/Return,Low,Open,2024-01-21
758,Customer service is not responding,Service Issue,Low,Open,2024-03-13
759,Support team was rude,Service Issue,Medium,Resolved,2024-10-02
760,Quality is very poor,Product Defect,Medium,In Progress,2024-07-24
761,Quality is very poor,Product Defect,High,In Progress,2024-10-08
762,Item stopped working after one day,Product Defect,Low,In Progress,2024-01-29
763,Return request is pending,Refund/Return,Medium,In Progress,2024-10-10
764,Service is very slow,Service Issue,Low,Resolved,2024-08-24
765,Extra charges applied without notice,Billing Issue,Medium,Open,2024-01-23
766,Received a defective piece,Product Defect,Low,In Progress,2024-07-06
767,Refund not processed yet,Refund/Return,High,Resolved,2024-11-11
768,Billing details are wrong,Billing Issue,Low,In Progress,2024-12-16
769,Item stopped working after one day,Product Defect,Medium,In Progress,2024-02-05
770,Order marked delivered but not received,Delivery Problem,Low,Open,2024-01-08
771,Delivery was delayed by many days,Delivery Problem,Low,In Progress,2024-07-15
772,Package not delivered yet,Delivery Problem,Low,Open,2024-05-09
773,Return request is pending,Refund/Return,Low,In Progress,2024-08-20
774,I was charged twice for my order,Billing Issue,Low,Open,2024-12-14
775,Support team was rude,Service Issue,Medium,In Progress,2024-01-17
776,Package not delivered yet,Delivery Problem,High,Resolved,2024-08-10
777,I was charged twice for my order,Billing Issue,Medium,Resolved,2024-02-15
778,Wrong delivery address used,Delivery Problem,Low,In Progress,2024-11-22
779,Support team was rude,Service Issue,High,In Progress,2024-02-13
780,Customer service is not responding,Service Issue,Low,Open,2024-04-11
781,Refund not processed yet,Refund/Return,High,Open,2024-09-30
782,Need refund for cancelled order,Refund/Return,High,In Progress,2024-02-28
783,The product is damaged,Product Defect,Medium,Open,2024-12-09
784,Customer service is not responding,Service Issue,Low,In Progress,2024-04-07
785,I want to return my order,Refund/Return,Medium,In Progress,2024-01-29
786,Order marked delivered but not received,Delivery Problem,High,In Progress,2024-07-26
787,Support team was rude,Service Issue,High,In Progress,2024-08-23
788,Refund not processed yet,Refund/Return,Low,Open,2024-03-27
789,Quality is very poor,Product Defect,High,In Progress,2024-04-29
790,Order marked delivered but not received,Delivery Problem,High,Open,2024-10-26
791,Quality is very poor,Product Defect,Medium,In Progress,2024-04-29
792,Issue not resolved by support,Service Issue,Low,Open,2024-08-14
793,Return request is pending,Refund/Return,Medium,In Progress,2024-12-15
794,No help from customer care,Service Issue,High,Open,2024-10-18
795,Money not refunded after return,Refund/Return,High,Open,2024-01-11
796,My order arrived late,Delivery Problem,High,In Progress,2024-09-03
797,Delivery was delayed by many days,Delivery Problem,Medium,Resolved,2024-12-05
798,Issue not resolved by support,Service Issue,Medium,Open,2024-10-23
799,Need refund for cancelled order,Refund/Return,High,In Progress,2024-11-19
800,Support team was rude,Service Issue,High,Resolved,2024-02-08
801,Need refund for cancelled order,Refund/Return,Low,Open,2024-07-08
802,Extra charges applied without notice,Billing Issue,Low,Open,2024-08-08
803,Support team was rude,Service Issue,Low,In Progress,2024-07-27
804,My order arrived late,Delivery Problem,Medium,Resolved,2024-07-01
805,No help from customer care,Service Issue,High,Open,2024-12-16
806,Billing details are wrong,Billing Issue,Low,In Progress,2024-08-01
807,The product is damaged,Product Defect,High,Resolved,2024-03-13
808,Received a defective piece,Product Defect,Low,Resolved,2024-04-08
809,Product has scratches,Product Defect,Medium,Open,2024-06-01
810,Return request is pending,Refund/Return,High,In Progress,2024-07-23
811,Item stopped working after one day,Product Defect,Medium,Resolved,2024-03-21
812,Refund not processed yet,Refund/Return,High,Open,2024-10-29
813,I want to return my order,Refund/Return,High,Resolved,2024-09-28
814,Order marked delivered but not received,Delivery Problem,Low,In Progress,2024-10-21
815,No help from customer care,Service Issue,Low,Open,2024-10-16
816,Package not delivered yet,Delivery Problem,Low,In Progress,2024-04-07
817,No help from customer care,Service Issue,Low,Resolved,2024-07-30
818,Extra charges applied without notice,Billing Issue,Medium,Open,2024-05-21
819,My order arrived late,Delivery Problem,Medium,Resolved,2024-05-02
820,Incorrect billing amount on my invoice,Billing Issue,Low,Open,2024-05-19
821,My order arrived late,Delivery Problem,Low,In Progress,2024-01-16
822,Incorrect billing amount on my invoice,Billing Issue,Low,Resolved,2024-09-02
823,Service is very slow,Service Issue,Low,In Progress,2024-06-20
824,I want to return my order,Refund/Return,High,In Progress,2024-03-23
825,Money not refunded after return,Refund/Return,Medium,Resolved,2024-08-23
826,My order arrived late,Delivery Problem,Medium,Resolved,2024-02-10
827,Delivery was delayed by many days,Delivery Problem,Medium,In Progress,2024-03-21
828,Extra charges applied without notice,Billing Issue,Medium,Resolved,2024-01-06
829,Billing details are wrong,Billing Issue,Low,Open,2024-04-05
830,The product is damaged,Product Defect,High,Resolved,2024-02-19
831,Billing details are wrong,Billing Issue,High,Open,2024-10-23
832,Issue not resolved by support,Service Issue,High,In Progress,2024-02-29
833,My order arrived late,Delivery Problem,High,Open,2024-12-18
834,Refund not processed yet,Refund/Return,Medium,In Progress,2024-07-14
835,Incorrect billing amount on my invoice,Billing Issue,Medium,Open,2024-06-28
836,The product is damaged,Product Defect,High,In Progress,2024-07-20
837,Issue not resolved by support,Service Issue,Low,Open,2024-02-01
838,My order arrived late,Delivery Problem,Low,Resolved,2024-01-17
839,Issue not resolved by support,Service Issue,Medium,Open,2024-08-14
840,Extra charges applied without notice,Billing Issue,High,In Progress,2024-04-09
841,My order arrived late,Delivery Problem,Low,Open,2024-08-02
842,Package not delivered yet,Delivery Problem,Medium,Resolved,2024-09-30
843,The product is damaged,Product Defect,Medium,Resolved,2024-04-22
844,Support team was rude,Service Issue,High,In Progress,2024-04-09
845,The product is damaged,Product Defect,Medium,Resolved,2024-11-15
846,Quality is very poor,Product Defect,Low,Resolved,2024-11-17
847,Wrong delivery address used,Delivery Problem,Medium,Open,2024-12-24
848,My order arrived late,Delivery Problem,Low,In Progress,2024-08-21
849,Item stopped working after one day,Product Defect,High,In Progress,2024-06-28
850,Need refund for cancelled order,Refund/Return,Low,Resolved,2024-01-13
851,Payment deducted but order not confirmed,Billing Issue,Low,In Progress,2024-05-05
852,I was charged twice for my order,Billing Issue,Low,Resolved,2024-10-30
853,No help from customer care,Service Issue,Low,Open,2024-03-06
854,I want to return my order,Refund/Return,High,Open,2024-07-16
855,My order arrived late,Delivery Problem,Low,Resolved,2024-12-10
856,My order arrived late,Delivery Problem,Medium,Open,2024-03-03
857,Service is very slow,Service Issue,High,Open,2024-01-17
858,Delivery was delayed by many days,Delivery Problem,High,Resolved,2024-07-15
859,Service is very slow,Service Issue,High,Resolved,2024-10-20
860,Item stopped working after one day,Product Defect,High,Resolved,2024-05-13
861,Payment deducted but order not confirmed,Billing Issue,Low,Open,2024-10-25
862,Need refund for cancelled order,Refund/Return,High,Open,2024-01-13
863,Issue not resolved by support,Service Issue,Low,Resolved,2024-07-16
864,Service is very slow,Service Issue,High,In Progress,2024-12-23
865,Received a defective piece,Product Defect,High,Open,2024-09-13
